# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
1.661500e+02	2.096411e-02	1.661500e+02	4.503177e-02	1.661500e+02	8.352155e-03	1.661500e+02	1.863838e-03	1.661500e+02	2.435862e-02	1.661500e+02	2.521416e-02
1.681500e+02	2.439451e-02	1.681500e+02	3.261162e-02	1.681500e+02	2.378564e-02	1.681500e+02	1.346456e-02	1.681500e+02	1.848113e-02	1.681500e+02	3.362961e-02
1.701500e+02	8.063829e-03	1.701500e+02	3.394252e-02	1.701500e+02	-6.562086e-03	1.701500e+02	8.284663e-03	1.701500e+02	2.838618e-03	1.701500e+02	1.815426e-03
1.721500e+02	2.328157e-02	1.721500e+02	1.714926e-02	1.721500e+02	3.089337e-02	1.721500e+02	1.438740e-02	1.721500e+02	2.913198e-02	1.721500e+02	2.484583e-02
1.741500e+02	1.930303e-02	1.741500e+02	2.927627e-02	1.741500e+02	1.333149e-02	1.741500e+02	1.001174e-02	1.741500e+02	1.485753e-02	1.741500e+02	2.903813e-02
1.761500e+02	3.275799e-02	1.761500e+02	2.613829e-02	1.761500e+02	3.757959e-02	1.761500e+02	1.068619e-02	1.761500e+02	4.297288e-02	1.761500e+02	4.641302e-02
1.781500e+02	9.058579e-03	1.781500e+02	2.792594e-02	1.781500e+02	-6.140495e-03	1.781500e+02	1.119891e-02	1.781500e+02	-2.070199e-02	1.781500e+02	3.301053e-02
1.801500e+02	1.373545e-02	1.801500e+02	1.714349e-02	1.801500e+02	5.316652e-03	1.801500e+02	1.359332e-02	1.801500e+02	2.133225e-02	1.801500e+02	1.129153e-02
1.821500e+02	1.835177e-02	1.821500e+02	2.688540e-02	1.821500e+02	1.777411e-02	1.821500e+02	-3.335008e-06	1.821500e+02	3.885531e-02	1.821500e+02	8.247360e-03
1.841500e+02	1.720667e-02	1.841500e+02	1.497730e-02	1.841500e+02	2.611293e-02	1.841500e+02	7.974330e-03	1.841500e+02	2.947134e-02	1.841500e+02	7.497432e-03
1.861500e+02	2.264166e-02	1.861500e+02	3.833048e-02	1.861500e+02	4.025777e-02	1.861500e+02	3.487921e-04	1.861500e+02	5.691326e-03	1.861500e+02	2.857994e-02
1.881500e+02	2.218349e-02	1.881500e+02	1.766727e-02	1.881500e+02	8.922808e-03	1.881500e+02	6.008504e-03	1.881500e+02	3.161784e-02	1.881500e+02	4.670103e-02
1.901500e+02	2.543078e-02	1.901500e+02	1.543107e-02	1.901500e+02	3.100646e-02	1.901500e+02	2.974333e-02	1.901500e+02	2.044885e-02	1.901500e+02	3.052419e-02
1.921500e+02	6.218384e-03	1.921500e+02	3.136205e-03	1.921500e+02	9.168794e-03	1.921500e+02	-2.385886e-03	1.921500e+02	2.868988e-02	1.921500e+02	-7.517073e-03
1.941500e+02	2.655732e-02	1.941500e+02	1.539411e-02	1.941500e+02	2.573151e-02	1.941500e+02	3.700389e-02	1.941500e+02	1.853288e-02	1.941500e+02	3.612420e-02
1.961500e+02	1.308527e-02	1.961500e+02	1.924799e-02	1.961500e+02	1.486163e-02	1.961500e+02	-1.455877e-02	1.961500e+02	1.426676e-02	1.961500e+02	3.160873e-02
1.981500e+02	2.202498e-02	1.981500e+02	2.973582e-02	1.981500e+02	3.121371e-03	1.981500e+02	4.096074e-02	1.981500e+02	3.482465e-02	1.981500e+02	1.482289e-03
2.001500e+02	8.416133e-03	2.001500e+02	-5.840355e-03	2.001500e+02	2.017172e-03	2.001500e+02	-1.036140e-02	2.001500e+02	3.403929e-02	2.001500e+02	2.222595e-02
2.021500e+02	1.309968e-02	2.021500e+02	-5.629983e-03	2.021500e+02	3.431997e-02	2.021500e+02	3.318178e-03	2.021500e+02	7.610729e-03	2.021500e+02	2.587951e-02
2.041500e+02	1.624771e-02	2.041500e+02	2.147195e-02	2.041500e+02	1.439817e-02	2.041500e+02	1.812923e-02	2.041500e+02	-6.069399e-03	2.041500e+02	3.330860e-02
2.061500e+02	1.134260e-02	2.061500e+02	1.315789e-02	2.061500e+02	1.290645e-02	2.061500e+02	9.938815e-03	2.061500e+02	4.181607e-03	2.061500e+02	1.652823e-02
2.081500e+02	1.978781e-02	2.081500e+02	5.172919e-02	2.081500e+02	1.615664e-02	2.081500e+02	-1.558371e-02	2.081500e+02	1.279431e-02	2.081500e+02	3.384264e-02
2.101500e+02	2.817476e-02	2.101500e+02	4.059720e-02	2.101500e+02	3.775840e-02	2.101500e+02	-1.284845e-02	2.101500e+02	5.391292e-02	2.101500e+02	2.145371e-02
2.121500e+02	1.544893e-02	2.121500e+02	1.077146e-02	2.121500e+02	-5.954294e-03	2.121500e+02	7.380705e-03	2.121500e+02	3.272923e-02	2.121500e+02	3.231755e-02
2.141500e+02	1.976764e-02	2.141500e+02	4.649163e-02	2.141500e+02	4.216780e-03	2.141500e+02	7.522400e-03	2.141500e+02	2.905439e-02	2.141500e+02	1.155298e-02
2.161500e+02	2.551934e-02	2.161500e+02	7.175723e-02	2.161500e+02	1.413993e-02	2.161500e+02	2.105947e-02	2.161500e+02	1.261006e-02	2.161500e+02	8.030039e-03
2.181500e+02	2.439707e-02	2.181500e+02	1.497804e-02	2.181500e+02	3.900856e-02	2.181500e+02	1.707487e-02	2.181500e+02	6.024288e-03	2.181500e+02	4.489958e-02
2.201500e+02	1.901657e-02	2.201500e+02	2.897460e-02	2.201500e+02	6.779844e-03	2.201500e+02	1.410642e-04	2.201500e+02	3.487868e-02	2.201500e+02	2.430864e-02
